Item_Code|Item_Name|Manu_Code|Manu_Name|Sale_Qty|Bon_Qty|Dis_Perc|Dis_Amt|Spr_PTR|Stax_Perc|Sret_Qty|Pack_Size|OP_Bal|Cl_Bal|Acode|From_Date|To_Date
102001|KETASMA TAB                   10'S|1048|SUN SOLARES|279|0|0|286.89|26.52|4.00|-1|10'S|201.00|43.00|AIOCD6034|01/01/2009|31/01/2009
102002|COZABAL                       10'S|1048|SUN SOLARES|0|0|0|0.00|73.76|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102003|BETADAY-10MG TAB              10'S|1048|SUN SOLARES|24|0|0|7.48|37.43|4.00|0|10'S|4.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102005|COLD-ACT CAPS                 10'S|1048|SUN SOLARES|2135|415|0|1591.68|22.62|4.00|0|10'S|1149.00|198.00|AIOCD6034|01/01/2009|31/01/2009
102006|COLD ACT DROPS                15ML|1048|SUN SOLARES|105|0|0|87.76|26.52|4.00|0|15ML|62.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102008|SPILACTONE 50                 10'S|1048|SUN SOLARES|38|0|0|7.20|20.95|4.00|0|10'S|0.00|12.00|AIOCD6034|01/01/2009|31/01/2009
102010|DICLOSEF 10                   10'S|1048|SUN SOLARES|0|0|0|0.00|12.60|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102011|ROFACLO                       10'S|1048|SUN SOLARES|0|0|0|0.00|16.42|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102013|ZOFER MD 4MG TAB              10'S|1048|SUN SOLARES|103|17|0|144.61|72.31|4.00|0|10'S|82.00|61.00|AIOCD6034|01/01/2009|31/01/2009
102014|SPILACTONE T                  10'S|1048|SUN SOLARES|22|0|0|7.53|53.85|4.00|0|10'S|44.00|27.00|AIOCD6034|01/01/2009|31/01/2009
102020|MOZASEF-5 TAB                 10'S|1048|SUN SOLARES|0|0|0|0.00|26.47|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102023|SPLANZ 30MG CAPS              10'S|1048|SUN SOLARES|3|0|0|1.03|51.47|4.00|0|10'S|3.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102025|T.R.PHYLLIN 125MG             10'S|1048|SUN SOLARES|0|0|0|0.00|7.74|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102026|T.R.PHYLLIN-250MG             10'S|1048|SUN SOLARES|0|0|0|0.00|10.76|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102028|ZOFER-4MG TAB                 10'S|1048|SUN SOLARES|0|0|0|0.00|79.90|4.00|0|10'S|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
102029|ZOFER-4MG INJ                  2ML|1048|SUN SOLARES|0|0|0|0.00|25.46|4.00|0|2ML|0.00|0.00|AIOCD6034|01/01/2009|31/01/2009
